xMean,yMean,zMean,xVar,yVar,zVar,s2Mean,s2Var,tilt,energy,kurtosis,tag
1.900720,-10.179944,-0.824208,26.714161,50.197029,59.150372,243.438446,71929.625000,0.966862,60616.164063,7.271005,running
1.653850,-10.184781,-0.646402,25.297836,49.869118,55.313065,236.838821,67525.281250,0.974630,58972.859375,8.464293,running
1.567382,-10.340834,-0.695386,25.061792,49.878761,54.908539,239.200714,67270.640625,0.977788,59560.964844,8.457742,running
1.730758,-10.314693,-0.737655,24.592339,49.231228,54.834442,238.073868,67191.320313,0.972981,59280.382813,8.527894,running
1.700282,-10.180876,-0.609096,24.710466,50.810085,55.370213,237.277283,67453.328125,0.973224,59082.039063,8.472547,running
1.825963,-10.090403,-0.743797,25.136368,51.282017,58.421192,240.001663,71345.968750,0.968779,59760.398438,7.495469,running
1.921355,-10.014762,-0.817966,26.539240,50.639729,58.928135,240.216614,71595.843750,0.965108,59813.925781,7.426345,running
1.830342,-9.935970,-0.746612,26.198627,50.298141,59.321796,237.904190,71554.046875,0.967700,59238.140625,7.521943,running
1.837296,-10.040286,-0.875171,26.477722,49.372440,59.307251,239.563538,71188.843750,0.968107,59651.312500,7.565262,running
1.843453,-10.176469,-0.860559,26.457479,47.703289,57.831917,239.161987,71166.898438,0.968717,59551.324219,7.586680,running
1.667052,-10.191913,-0.777108,25.729149,47.501205,52.752945,232.735382,65641.820313,0.974274,57951.101563,8.171451,running
1.624401,-10.293174,-0.868374,25.503681,47.871185,51.162045,233.378952,65000.621094,0.975988,58111.359375,8.351853,running
1.763166,-10.360417,-0.846583,25.217690,46.929375,51.021332,233.837448,64526.617188,0.972238,58225.519531,8.495514,running
1.674456,-10.240452,-0.711385,25.446194,48.531143,51.732513,233.381729,64666.250000,0.974290,58112.050781,8.465635,running
1.799263,-10.094089,-0.798694,25.131292,49.084522,54.690483,234.154480,67847.187500,0.969666,58304.457031,7.774667,running
1.934213,-10.015684,-0.959789,25.793909,48.625843,57.814854,236.679840,69691.296875,0.964670,58933.277344,7.400407,running
1.856942,-9.937237,-0.887766,24.534258,47.961620,58.389988,233.345261,68707.968750,0.966809,58102.972656,7.799172,running
1.855264,-10.136060,-1.022654,24.847584,46.198978,57.987392,235.743286,68341.757813,0.968093,58700.078125,7.819684,running
1.814109,-10.175011,-0.925083,24.721659,45.439342,54.851559,232.188126,66122.734375,0.969652,57814.839844,8.394651,running
1.600794,-10.155141,-0.794210,23.370106,44.225677,51.151470,224.590561,61110.597656,0.976041,55923.050781,9.938540,running
1.557990,-10.282238,-0.927669,23.258259,44.317078,50.428974,226.542709,60930.199219,0.977803,56409.128906,9.927045,running
1.734525,-10.355709,-0.884038,22.769291,43.808575,50.417416,227.556229,60492.226563,0.973074,56661.488281,10.063972,running
1.645653,-10.274021,-0.785702,23.051611,45.549099,50.847679,227.849686,60390.093750,0.975291,56734.566406,10.093421,running
1.710200,-10.037772,-0.804974,22.876743,46.556187,54.159943,227.426147,63661.433594,0.972178,56629.105469,9.276024,running
1.850546,-10.038604,-0.999395,23.336494,47.452579,57.458698,232.929596,68949.718750,0.967657,57999.464844,8.464796,running
1.769016,-9.885505,-0.906943,22.675718,46.655872,58.209816,228.704346,68246.375000,0.969437,56947.378906,8.858206,running
1.741948,-10.039493,-0.902737,23.361061,46.436302,58.351067,232.274506,67834.078125,0.971189,57836.335938,8.851453,running
1.753983,-10.164080,-1.052366,23.322578,44.222832,57.866238,232.400436,67792.609375,0.971488,57867.695313,8.860311,running
1.581464,-10.126367,-0.701806,21.973818,42.342171,49.727802,219.122635,51777.894531,0.976468,54561.519531,6.644732,running
1.486813,-10.232847,-0.899400,21.976831,41.956955,48.861629,220.073120,50927.785156,0.979534,54798.195313,6.894201,running
1.618494,-10.283533,-0.928868,21.286301,42.156162,48.605156,220.830994,50730.902344,0.976113,54986.906250,6.928554,running
1.523379,-10.323588,-0.825566,21.480484,41.882416,48.705429,221.196976,50631.992188,0.978912,55078.035156,6.950540,running
1.550256,-10.090345,-0.725189,21.449326,44.091976,49.333672,219.157898,51083.648438,0.977200,54570.300781,6.866826,running
1.653267,-10.099327,-0.971524,21.368063,46.161449,55.820770,228.528458,65948.554688,0.974233,56903.566406,11.413715,running
1.605277,-9.933657,-0.987054,20.481100,45.638058,56.755219,224.609634,65262.230469,0.974866,55927.777344,11.861622,running
1.617222,-10.055940,-0.922143,21.257372,45.805096,57.344097,228.494629,64894.988281,0.975098,56895.140625,11.846648,running
1.626060,-10.147933,-1.054493,21.315247,44.430538,56.776836,228.767136,64789.667969,0.975273,56963.000000,11.880500,running
1.483568,-10.121099,-0.777409,20.499689,42.918835,51.619335,219.817841,56766.957031,0.979182,54734.625000,14.767298,running
1.307353,-10.256551,-0.876022,20.694462,42.304348,50.192120,220.409775,56339.648438,0.984138,54882.019531,14.998937,running
1.450056,-10.358315,-0.897398,21.354942,42.555183,49.949982,223.605499,56795.707031,0.980961,55677.761719,14.552796,running
1.394466,-10.360895,-0.810438,21.759665,42.647591,50.338951,224.234879,56531.902344,0.982364,55834.480469,14.678492,running
1.402592,-10.116114,-0.713292,21.716841,45.632889,50.646809,222.334457,56949.261719,0.981314,55361.285156,14.525509,running
1.582042,-10.155610,-0.984487,22.641790,47.135834,55.878860,231.760315,64133.980469,0.976582,57708.320313,11.616241,running
1.607973,-10.000948,-0.994027,23.032118,46.909660,57.507477,230.530029,64474.941406,0.975110,57401.976563,11.521731,running
1.503590,-10.072564,-0.936325,23.118517,47.494480,58.223667,232.913284,64474.625000,0.978435,57995.410156,11.415562,running
1.588581,-10.175704,-1.094318,22.915764,45.851490,57.796581,233.321625,64322.054688,0.976484,58097.089844,11.463110,running
1.408232,-10.175283,-0.897374,22.016613,44.615913,54.013889,226.486694,58566.031250,0.981380,56395.199219,13.590029,running
1.258885,-10.236380,-0.899697,20.830463,44.425945,52.444695,224.406128,57723.777344,0.985210,55877.144531,14.151288,running
1.335373,-10.405711,-0.903970,21.743692,45.079819,52.440327,229.664078,58373.089844,0.983927,57186.367188,13.523414,running
1.374381,-10.416948,-0.860469,21.663713,44.399712,52.271351,229.001678,58148.812500,0.983034,57021.433594,13.681275,running
1.297234,-10.240247,-0.744882,21.880684,45.917488,52.785542,227.199753,58493.351563,0.984328,56572.750000,13.578914,running
1.487731,-10.162469,-0.910767,22.668821,47.211987,56.228489,231.921448,63491.945313,0.979234,57748.457031,11.651018,running
1.599331,-10.050902,-1.036243,23.310192,47.045006,57.363426,231.857986,63594.023438,0.975603,57732.652344,11.609872,running
1.519675,-9.989859,-0.911814,22.945189,47.090858,58.170864,230.630112,63649.597656,0.977632,57426.906250,11.640516,running
1.511539,-10.160241,-1.017755,23.216829,46.235706,57.749310,233.242081,63334.914063,0.978576,58077.285156,11.663614,running
1.506143,-10.167947,-0.909041,23.200417,45.585392,54.979404,229.750122,61349.972656,0.978755,57207.792969,12.511848,running
1.277078,-10.199331,-0.818826,21.479406,45.292023,52.619274,225.238983,58789.089844,0.984681,56084.515625,13.879634,running
1.226182,-10.304856,-0.903578,21.356226,45.803131,52.583714,227.772202,58803.421875,0.986135,56715.289063,13.743221,running
1.407080,-10.410175,-0.851621,22.056431,46.275162,52.397678,231.321304,59916.500000,0.982217,57599.007813,13.026301,running
1.301976,-10.337694,-0.773513,22.498365,47.456882,52.818214,231.441772,59855.769531,0.984506,57629.003906,13.051239,running
1.369009,-10.084371,-0.747468,22.535971,48.115616,53.412018,227.692780,60487.007813,0.982065,56695.507813,12.904682,running
1.559974,-10.085193,-0.975228,23.792294,49.193924,57.857304,235.413742,66432.875000,0.976900,58618.027344,10.855460,running
1.505603,-10.010741,-0.859842,23.469376,49.671463,58.863132,234.694946,66828.093750,0.978120,58439.042969,10.725548,running
1.459601,-10.183395,-0.925503,24.031462,49.115059,58.404354,237.711090,66597.031250,0.980068,59190.066406,10.689906,running
1.442475,-10.216008,-0.932214,23.996635,48.476208,57.119843,236.388809,66659.562500,0.980640,58860.816406,10.721445,running
1.264927,-10.192511,-0.667099,23.089970,47.558407,51.967438,228.055710,61639.289063,0.984945,56785.875000,12.611609,running
1.186571,-10.268596,-0.849656,23.031452,47.780033,51.105011,229.000809,61449.812500,0.986909,57021.199219,12.662152,running
1.360008,-10.375669,-0.807522,23.111509,48.328529,51.242657,232.346237,61643.847656,0.983249,57854.210938,12.411313,running
1.271600,-10.424023,-0.744652,23.403658,48.079628,51.113953,232.936600,61446.312500,0.985443,58001.207031,12.479664,running
1.290595,-10.124459,-0.629224,23.385012,49.842747,51.685844,228.978180,62209.839844,0.984136,57015.546875,12.292300,running
1.438049,-10.101755,-0.868480,23.993795,51.070709,56.481922,235.885818,68320.523438,0.980331,58735.550781,10.233341,running
1.405952,-9.982559,-0.889850,24.722361,50.865761,57.805984,235.278412,68757.125000,0.980735,58584.312500,10.095771,running
1.418977,-10.162320,-0.846086,25.285563,50.008274,58.211121,238.970917,68174.437500,0.981055,59503.742188,10.163432,running
1.411382,-10.286850,-0.962600,25.407856,47.889530,57.845074,239.353668,68041.476563,0.981691,59599.050781,10.197453,running
1.361877,-10.158511,-0.611361,25.167425,46.430172,51.009918,227.538940,60333.156250,0.982498,56657.187500,12.300560,running
1.223395,-10.281359,-0.846253,24.680889,46.554737,50.437065,229.103210,60020.605469,0.986135,57046.691406,12.384239,running
1.333270,-10.349882,-0.803889,23.909864,47.040535,50.874973,230.880020,60080.269531,0.983807,57489.109375,12.271482,running
1.294639,-10.426781,-0.751115,24.165552,47.056519,50.770248,232.460403,59873.820313,0.984931,57882.625000,12.302166,running
1.322405,-10.189054,-0.631666,24.130684,48.041836,51.370319,229.011261,60359.117188,0.983569,57023.792969,12.220753,running
1.444392,-10.135037,-0.838749,24.294512,48.425224,56.303959,234.014267,64351.285156,0.980288,58269.546875,10.584120,running
1.424173,-10.000269,-0.884635,24.428402,47.454639,59.369690,233.541840,64574.054688,0.980315,58151.910156,10.516133,running
1.475203,-10.132097,-0.869278,24.635149,47.531219,59.720333,236.948303,64265.179688,0.979453,59000.121094,10.501515,running
1.436037,-10.265920,-1.019925,25.110601,45.727978,59.274635,238.082214,63991.464844,0.980989,59282.468750,10.566220,running
1.401870,-10.100316,-0.765144,24.931976,43.389843,53.450176,225.850021,49878.101563,0.981275,56236.644531,4.853287,running
1.290112,-10.211243,-0.797207,24.714901,43.741364,51.185421,225.730606,49663.609375,0.984410,56206.910156,4.923484,running
1.264731,-10.267429,-0.875587,23.965313,43.775112,51.221268,226.270248,49548.261719,0.985164,56341.277344,4.939311,running
1.389944,-10.447741,-0.853762,24.097301,43.681675,51.256031,230.373093,49258.875000,0.982757,57362.890625,4.881551,running
1.335320,-10.281473,-0.793354,24.329802,44.894970,51.546471,228.407394,49743.218750,0.983547,56873.433594,4.805842,running
1.482406,-10.012448,-0.702054,23.595900,45.587620,51.893269,223.530060,50275.183594,0.978775,55658.980469,4.819526,running
1.498213,-9.966571,-1.069879,23.383833,45.522217,57.270828,228.391968,55894.585938,0.978141,56869.593750,4.735960,running
1.616868,-9.989619,-1.020360,23.324284,45.505810,58.267498,230.035049,55769.500000,0.974789,57278.722656,4.713570,running
1.527710,-10.293551,-1.080447,24.249752,42.071972,57.878639,233.160034,55117.695313,0.978675,58056.847656,4.780464,running
1.394533,-10.101631,-0.852644,23.229412,40.508408,53.809868,221.790283,48612.679688,0.981470,55225.785156,5.374074,running
1.253279,-10.143574,-0.873532,22.145298,40.277958,50.711540,217.906296,47846.484375,0.985075,54258.675781,5.765931,running
1.293257,-10.159495,-1.015738,21.644468,39.561699,50.426506,217.103943,47236.218750,0.984179,54058.898438,6.013534,running
1.312190,-10.389536,-0.918768,21.858219,39.814571,50.514423,222.245102,47019.250000,0.984420,55339.050781,5.890652,running
1.335239,-10.367329,-0.900395,21.919477,40.007294,50.521320,222.071564,47024.500000,0.983814,55295.839844,5.896305,running
1.398410,-10.097190,-0.702666,21.763548,41.563114,50.813873,218.084671,47696.132813,0.981354,54303.105469,5.811202,running
1.443383,-9.999456,-1.101894,21.571135,41.543655,55.773819,221.697800,53301.828125,0.979794,55202.769531,5.574225,running
1.458631,-9.936329,-1.102597,21.004038,41.469166,57.846054,221.910004,52932.457031,0.979123,55255.601563,5.674394,running
1.483515,-10.177110,-1.118734,21.408947,40.377140,57.815788,226.147491,52545.945313,0.979405,56310.742188,5.635670,running
1.410608,-10.152732,-1.026650,21.002644,39.647480,55.583969,221.889084,51347.085938,0.981238,55250.398438,6.129372,running
1.246181,-10.100827,-0.900653,19.619762,38.495831,52.358959,214.421738,47785.425781,0.985118,53391.023438,6.503963,running
1.185400,-10.223335,-1.081948,19.982983,38.808197,51.937290,217.376144,47717.191406,0.986821,54126.675781,6.406594,running
1.338962,-10.366387,-0.983072,20.414143,39.038521,52.407196,221.631851,47850.082031,0.983723,55186.355469,6.185280,running
1.243886,-10.408039,-0.950478,21.001966,38.791500,52.481110,222.601608,47581.722656,0.986016,55427.820313,6.244924,running
1.298544,-10.092989,-0.754724,20.917898,40.755768,53.185875,218.522507,48095.332031,0.983847,54412.125000,6.219471,running
1.438001,-10.071178,-1.062097,21.043673,42.044029,58.376450,225.600876,56658.902344,0.980216,56174.628906,5.818643,running
1.398931,-9.942351,-1.087521,20.503065,41.368393,60.413559,223.783966,55571.417969,0.980771,55722.222656,6.157806,running
1.477736,-10.116458,-1.063861,20.580990,40.347763,60.778740,226.876938,55138.710938,0.979322,56492.367188,6.174892,running
1.422643,-10.259337,-1.156361,21.363064,39.121101,60.354328,228.968292,54818.824219,0.981309,57013.113281,6.193716,running
1.261357,-10.096827,-0.820232,20.341391,37.808514,55.479874,217.383148,49387.746094,0.984750,54128.414063,6.999023,running
1.136736,-10.228785,-1.021053,20.098303,37.807961,54.702831,219.119598,49060.343750,0.987874,54560.789063,7.054118,running
1.193908,-10.264687,-1.061390,19.592291,38.105988,55.012760,220.174133,49179.566406,0.986740,54823.359375,6.965927,running
1.225297,-10.414712,-1.020618,20.387575,37.762321,55.037601,223.742157,49006.738281,0.986439,55711.800781,6.890693,running
